county,station code,station name,latitude,longitude,open year
Antrim,5880,LH_RATHLIN_WEST,55.30083,-6.28028,2000
Carlow,4415,TULLOW (Waterworks),52.80528,-6.74306,1985
Carlow,2414,BORRIS G.S.,52.60278,-6.93056,1944
Carlow,1214,CARLOW (SUGAR FACTORY),52.85139,-6.92778,1953
Carlow,115,HACKETSTOWN RECTORY,52.86667,-6.55,1910
Carlow,4214,CARLOW (AGR.RES.STN.),52.84722,-6.92222,1960
Carlow,3614,GRAIGUENAMANAGH,52.53472,-6.95139,1951
Carlow,3315,BUNCLODY(CARRICKDUFF)G.S.,52.65694,-6.6625,1973
Carlow,3115,TULLOW (HARDYMOUNT HSE.),52.79722,-6.75417,1963
Carlow,9914,M.BLACKSTAIRS MTNS.(KNOCKROE),52.59306,-6.79028,1950
Carlow,6114,POLLMOUNTY FISH FARM,52.46667,-6.90278,1987
Carlow,2214,LEIGHLINBRIDGE G.S.,52.73333,-6.98056,1944
Carlow,514,CARLOW (BROWNE'S HILL),52.82778,-6.88056,1866
Carlow,1414,BAGENALSTOWN (FENAGH HSE.),52.69722,-6.85556,1866
Carlow,6014,CLASHGANNA MILLS,52.5625,-6.91111,1987
Carlow,375,OAK PARK,52.86111,-6.91528,2003
Carlow,5914,BAGENALSTOWN (KILDREENAGH),52.71639,-6.89167,1985
Carlow,4515,TULLOW (Ardoyne Glebe),52.77194,-6.69333,1985
Carlow,1014,GLYNN G.S.,52.49861,-6.90417,1946
Carlow,5314,BAGENALSTOWN (FENAGH II),52.69917,-6.85111,1982
Carlow,4814,CARLOW (Oak Park),52.86111,-6.91528,1967
Carlow,7414,BORRIS,52.60278,-6.93056,1890
Carlow,6214,BAGENALSTOWN (RATHELLIN),52.71806,-6.96389,1990
Carlow,2015,RATHVILLY G.S.,52.87917,-6.69306,1949
Carlow,515,TULLOW (MT.ST.JOSEPH'S),52.79028,-6.72778,1949
Carlow,2115,HACKETSTOWN (Voc.Sch.),52.86111,-6.55278,1949
Carlow,1815,BALLON G.S.,52.74306,-6.77222,1949
Carlow,6914,GARRYHILL (MILLTOWN),52.67389,-6.8375,2003
Carlow,2114,CARLOW (TRANS.STN.),52.83611,-6.94167,1944
Cavan,9937,M.SWANLINBAR FOREST,54.14389,-7.68333,1995
Cavan,2637,COOTEHILL (VOC.SCH.),54.07639,-7.08611,1951
Cavan,738,KINGSCOURT G.S.,53.90694,-6.80417,1943
Cavan,237,BALLYCONNELL G.S.,54.11944,-7.58056,1942
Cavan,2431,BAILIEBORO' G.S.,53.91667,-6.96944,1944
Cavan,637,CROSSDONEY (KEVIT CASTLE),53.95833,-7.41806,1923
Cavan,631,VIRGINIA (FOR.STN.),53.83611,-7.11667,1942
Cavan,2937,BALLINAGH G.S.,53.93333,-7.40694,1951
Cavan,1330,FINEA (MAUGHERA HATCHERIES),53.80417,-7.36944,1956
Cavan,1437,REDHILLS G.S.,54.10278,-7.31667,1942
Cavan,737,BALLYHAISE (AGR.COLL.),54.05139,-7.30972,1923
Cavan,3037,SWANLINBAR,54.19583,-7.70278,1942
Cavan,1431,MULLAGH G.S.,53.81111,-6.94306,1942
Cavan,1337,CAVAN (TRANS.STN.),53.99722,-7.35833,1942
Cavan,675,BALLYHAISE,54.05139,-7.30972,2003
Cavan,3131,VIRGINIA G.S.,53.83333,-7.08194,1951
Cavan,3631,BAILIEBORO' CASTLE,53.92778,-6.99167,1958
Cavan,3437,COOTEHILL (COMP. SCH.),54.06944,-7.06667,1968
Cavan,430,BALLYJAMESDUFF G.S.,53.86389,-7.20556,1942
Cavan,1737,GOWNA (SALLAGHAN BRIDGE),53.88611,-7.50278,1944
Cavan,837,SHERCOCK G.S.,53.99722,-6.9,1942
Cavan,4137,CAVAN (Drumconnick),53.99556,-7.39556,1984
Cavan,4037,LOUGH GOWNA (GLENBROOK),53.87778,-7.525,1973
Cavan,4031,BAILIEBORO (Duneena),53.94389,-7.01917,1973
Cavan,1530,LAVAGH (BALLYHEELAN),53.82778,-7.33056,1972
Cavan,4131,BAILIEBORO (Leiter),53.9325,-7.01333,1973
Cavan,437,KILLESHANDRA G.S.,54.01528,-7.52778,1951
Cavan,4437,KILNALECK (Omard),53.85722,-7.33722,1985
Cavan,4337,CAVAN LORETO COLLEGE,54.0125,-7.37167,1985
Cavan,4637,BALLYCONNELL (Mullaghduff),54.10722,-7.56889,1985
Cavan,4537,KILLESHANDRA TOWN LAKE,54.02222,-7.52472,1985
Cavan,4837,COOTEHILL (VICARS HILL),54.05389,-7.10694,1992
Cavan,337,BLACKLION G.S.,54.29167,-7.87778,1942
Cavan,5037,BELTURBET (Naughan),54.13389,-7.43889,1993
Cavan,4937,COOTEHILL (Mountain Lodge),53.97583,-7.11194,1993
Cavan,1930,KILNALECK TULLYBOY CROSSERLOUGH,53.84611,-7.30139,1987
Cavan,5431,VIRGINIA (MURMOD),53.84778,-7.07972,2001
Cavan,5137,ARVA (KILGARVE),53.90667,-7.57778,1995
Cavan,537,STRADONE PARK,53.98472,-7.23611,1952
Cavan,5637,TULLYCO (Artonagh),54.0025,-7.17333,2000
Cavan,1937,BELTURBET (VOC.SCH.),54.1,-7.44167,1944
Cavan,5885,KILCOGY_WWTP,53.83333,-7.42306,2019
Cavan,2037,CUILCAGH MTNS.,54.16583,-7.80139,1944
Cavan,2030,BALLYJAMESDUFF (Kilcully),53.85833,-7.20083,1997
Cavan,5837,KILLESHANDRA (Bawn),54.01,-7.54278,2000
Cavan,1037,TULLYVIN G.S.,54.05,-7.14167,1942
Cavan,6031,VIRGINIA,53.83444,-7.07639,2007
Cavan,530,FINEA G.S.,53.78056,-7.39167,1944
Cavan,6537,TULLYVIN_(Cornabragher),54.04861,-7.13111,2012
Cavan,6337,ARVAGH (Cormore),53.91056,-7.53972,2010
Cavan,6637,KILLESHANDRA-Drumroosk,53.993,-7.52,2019
Cavan,6737,CLOVERHILL,54.08333,-7.34167,1896
Cavan,7985,Loughan_House,54.28889,-7.91667,2020
Cavan,1137,KILNALECK G.S.,53.85833,-7.31944,1942
Cavan,329,GLENGEVLIN G.S.,54.19444,-7.89167,1928
Clare,1218,TULLA,52.86833,-8.76,1943
Clare,1217,DOONBEG,52.73167,-9.51389,1984
Clare,2519,MOUNTSHANNON G.S.,52.93194,-8.42778,1943
Clare,2518,CRUSHEEN (Cloonawillin),52.89583,-8.89278,2007
Clare,2618,CRUSHEEN (Ballinruan),52.93194,-8.82083,2014
Clare,121,NEW QUAY G.S.,53.15861,-9.09444,1943
Clare,1317,KILMIHIL (Shyan),52.73111,-9.36278,1984
Clare,117,DOOLIN G.S.,53.01389,-9.38333,1943
Clare,717,DOONBEG G.S.,52.73056,-9.51806,1951
Clare,2921,LISDOONVARNA (Treatment Plant),53.02417,-9.31,2005
Clare,418,DROMOLAND CASTLE,52.77972,-8.90333,1923
Clare,718,COROFIN,52.94806,-9.06861,1943
Clare,1417,MULLAGH (Carrowlagan),52.79778,-9.40111,1984
Clare,1418,QUIN G.S.,52.81806,-8.86667,1951
Clare,417,INAGH (Mt.Callan),52.84167,-9.23833,1897
Clare,3385,CARRON,53.03028,-9.0775,2019
Clare,719,FEAKLE FLAGMOUNT,52.98333,-8.63333,1940
Clare,1511,KILDYSART G.S.,52.675,-9.10556,1943
Clare,1518,CARRON N.S.,53.0375,-9.07222,1958
Clare,118,CARRON G.S.,53.03611,-9.075,1943
Clare,3511,LABASHEEDA G.S.,52.62222,-9.24722,1951
Clare,1517,ENNISTYMON,52.94361,-9.29111,1985
Clare,3411,CARRIGAHOLT G.S.,52.6,-9.70833,1951
Clare,1521,BALLYVAUGHAN,53.11389,-9.14722,1960
Clare,3585,TULLA WTP,52.85611,-8.75694,2019
Clare,4011,ARDNACRUSHA (Gen.Stn.No.2),52.70639,-8.61444,1952
